# Statue 3D Reconstruction
# X Y Z coordinates
-4.481813 -2.697574 8.248045
1.290204 -0.032609 3.623335
0.265265 -1.983785 7.498902
1.754783 -1.625306 4.455470
1.226278 -0.578652 3.572256
-0.655674 -0.119822 4.019592
-0.518790 0.637631 3.111379
-6.582028 -1.487577 8.436374
-8.928752 -1.453235 11.512233
1.196271 -0.203154 3.322258
-1.608026 -0.042855 4.468816
-4.127172 -3.367074 7.213764
-3.486609 3.032127 6.179859
1.490522 -0.328745 3.322018
0.730523 2.648370 5.932606
-1.056349 2.381831 6.207764
0.400965 2.844294 5.931604
-2.308443 2.417418 6.443461
-1.052648 0.172373 4.284298
-7.443565 3.389522 13.065128
-4.445830 -3.345188 7.225879
-0.780183 2.921156 6.034362
-2.754455 1.644501 6.800887
-0.439170 -0.141011 3.767610
-6.403910 2.895790 13.154912
0.230028 -2.182541 6.661827
0.497550 -1.314259 4.514099
1.578628 -1.392021 4.263067
-0.630672 -0.581981 4.002051
-2.913177 0.101219 4.537737
-1.274699 -0.562242 4.736657
-6.929147 -3.351445 14.318034
0.055049 -3.243325 6.652292
2.635990 -1.024023 3.665856
1.785033 -0.495548 3.712012
0.118162 -2.751525 6.599609
-1.809393 0.092861 4.711207
0.707607 3.468104 5.866503
-3.825161 3.741636 6.392743
-0.738607 3.438541 6.435413
-6.050598 -2.373275 14.140196
-6.555521 -2.293376 8.454159
-0.771695 3.576491 5.964145
2.626508 -0.789149 3.394676
-6.486915 -2.392085 14.252300
-5.893940 -3.393174 14.281872
-7.004298 -2.284544 14.206589
-0.754847 0.085790 4.225567
-3.840209 3.072631 7.214741
2.615454 -1.396884 3.682719
-1.036683 3.475516 6.227930
-3.863831 2.360130 7.346420
-1.242328 -0.245327 4.517320
-7.215956 -2.095381 14.378252
-6.885617 -3.599442 14.571309
-3.101255 2.252159 7.595571
-0.772851 -1.936628 7.397757
-2.530850 2.901088 7.236881
-7.072944 -3.532888 14.077692
-3.246699 0.265088 4.792391
2.028780 1.235859 3.653179
-5.276017 -3.049343 11.774525
-5.589171 -2.886322 11.715196
-3.243248 3.399001 5.929400
0.713788 3.063528 5.475308
-0.641074 3.164247 5.667187
-5.678732 -2.656672 11.994961
-0.608618 3.206048 5.356866
0.530371 3.064565 5.123045
-5.841256 -3.038943 11.854541
-6.400574 -2.539767 12.091500
-0.394159 0.423014 3.402199
-3.392650 1.977546 6.660479
-6.132213 -2.784604 12.124738
-3.656158 3.466113 5.837851
-6.593533 -2.957582 11.854376
1.544360 -0.860671 3.378204
-5.217258 -2.851082 12.021416
-6.491354 -1.372570 12.489745
-6.270052 -2.920884 11.804224
-1.763235 -1.491766 6.337939
-2.152922 -0.528668 6.426865
-1.974330 2.518989 6.569506
-6.923197 4.275180 12.716029
-2.876585 0.304686 4.196639
-7.336506 -5.000083 12.773882
2.595525 -0.202780 3.176198
1.154294 0.293948 3.579255
-7.623929 -3.582977 13.544254
-6.427750 -5.111583 12.669618
-3.624179 3.386908 7.313498
-7.019553 -5.130487 12.800111
-7.142937 2.151756 9.005456
-4.089584 3.493574 7.228136
1.306572 0.560383 3.474931
-0.318184 1.193138 3.576816
-7.702735 -3.070254 13.696929
-2.236731 3.573875 6.462570
1.536847 0.323663 3.201184
-3.764334 2.323561 7.888653
-7.568071 -5.001775 12.538048
-2.934246 0.285755 4.812797
-2.451431 -1.077952 6.788417
-2.290435 -1.467143 6.632239
-2.615175 -0.691064 6.939487
-3.087797 0.525718 4.476538
-3.315363 2.739406 7.814926
-0.618567 3.369128 6.166816
-0.276460 1.384992 3.850779
-8.468264 -3.143474 13.294393
0.013879 -1.725449 5.961048
-4.010657 2.860075 7.769300
-0.396410 -1.215831 6.336846
-7.205880 1.072808 9.172132
-2.791243 3.458882 6.652207
-1.058489 -0.215072 4.152227
0.924344 0.845672 3.680011
-2.183254 3.092320 7.130857
-2.335883 -1.851982 6.153983
-1.650193 3.337584 6.614823
-2.289786 -2.169522 6.190025
-10.810335 -1.428315 15.686937
-10.924310 -1.315132 14.351119
-11.040549 -1.037840 14.713092
-1.148142 -0.433858 3.838232
0.759855 2.993869 6.266511
