# Statue 3D Reconstruction
# X Y Z coordinates
-4.481813 -2.697574 8.248045
1.290204 -0.032609 3.623335
-4.382710 -2.681796 8.172121
0.265265 -1.983785 7.498902
1.285075 -0.032622 3.623643
0.265656 -1.991643 7.526874
1.288030 -0.033710 3.619249
0.265523 -1.988219 7.510076
1.754783 -1.625306 4.455470
1.756070 -1.629214 4.461476
-4.375319 -2.685737 8.170062
-4.345089 -2.678940 8.127923
1.226278 -0.578652 3.572256
-0.655674 -0.119822 4.019592
-0.518790 0.637631 3.111379
-6.582028 -1.487577 8.436374
1.475870 -0.703098 3.566611
-8.928752 -1.453235 11.512233
1.196271 -0.203154 3.322258
-1.608026 -0.042855 4.468816
-4.127172 -3.367074 7.213764
-4.256071 -3.351001 7.201692
-1.602626 -0.042853 4.462677
-3.486609 3.032127 6.179859
1.490522 -0.328745 3.322018
0.730523 2.648370 5.932606
-1.056349 2.381831 6.207764
0.400965 2.844294 5.931604
-2.308443 2.417418 6.443461
-1.052648 0.172373 4.284298
-7.443565 3.389522 13.065128
0.396327 2.850190 5.935139
-8.896702 -1.438213 11.479404
-4.128291 -3.358961 7.195578
-4.128733 -3.367681 7.214308
-4.252606 -3.349026 7.195960
-4.445830 -3.345188 7.225879
-4.468316 -3.344710 7.230633
-1.607605 -0.043105 4.467674
-8.815517 -1.458434 11.475083
-8.883979 -1.437620 11.468243
-1.057580 2.385267 6.213861
-0.780183 2.921156 6.034362
-1.603608 -0.043086 4.465067
-2.754455 1.644501 6.800887
-0.439170 -0.141011 3.767610
-3.488649 3.032979 6.197933
0.730388 2.649446 5.934278
-0.382062 -0.171494 3.710392
1.225209 -0.578242 3.574159
0.397364 2.856098 5.943930
-8.810634 -1.458136 11.467771
-4.130540 -3.361759 7.200938
-4.171405 -3.371702 7.228568
-4.148286 -3.359462 7.201838
-4.268145 -3.359015 7.220739
-4.526440 -3.343375 7.239883
1.472226 -0.701982 3.559442
-6.403910 2.895790 13.154912
-8.874014 -1.442949 11.460474
0.230028 -2.182541 6.661827
-3.488649 3.032979 6.197933
-6.579864 -1.485288 8.432236
1.489589 -0.328625 3.322598
-4.117953 -3.360503 7.197781
-3.489716 3.034889 6.185842
1.196673 -0.202490 3.324471
-4.456056 -3.336911 7.209774
0.497550 -1.314259 4.514099
-4.155647 -3.362752 7.202739
1.578628 -1.392021 4.263067
-4.297702 -3.364819 7.238411
1.225546 -0.583457 3.567347
-4.255968 -3.353327 7.206058
-6.370966 2.875362 13.083143
-0.630672 -0.581981 4.002051
-4.292524 -3.361259 7.228035
-4.480111 -3.341966 7.223867
-4.450552 -3.353542 7.239173
-2.913177 0.101219 4.537737
-1.274699 -0.562242 4.736657
1.205992 -0.313357 3.524678
-3.469896 3.029239 6.188710
-1.052473 0.169341 4.282160
1.225657 -0.586836 3.564942
-2.918212 0.100088 4.540973
-2.809061 -0.041848 4.514510
-2.847198 1.617013 6.869958
-6.929147 -3.351445 14.318034
0.055049 -3.243325 6.652292
2.635990 -1.024023 3.665856
1.785033 -0.495548 3.712012
-0.448175 0.089143 3.885861
0.118162 -2.751525 6.599609
-1.809393 0.092861 4.711207
0.707607 3.468104 5.866503
-3.825161 3.741636 6.392743
-0.738607 3.438541 6.435413
-6.050598 -2.373275 14.140196
-6.555521 -2.293376 8.454159
-0.771695 3.576491 5.964145
2.626508 -0.789149 3.394676
-6.059204 -2.392543 14.180819
-6.486915 -2.392085 14.252300
-5.893940 -3.393174 14.281872
-5.766357 -3.397186 14.228761
-7.004298 -2.284544 14.206589
-5.915386 -3.406073 14.265967
-7.040916 -3.428904 14.221617
-7.068570 -3.437762 14.258099
1.585799 -0.501934 3.632267
-0.754847 0.085790 4.225567
-3.840209 3.072631 7.214741
-0.753046 0.083114 4.215431
2.615454 -1.396884 3.682719
0.060561 -3.244857 6.663484
-1.036683 3.475516 6.227930
-6.877728 -2.360353 14.287120
-7.012516 -3.418157 14.160289
-3.863831 2.360130 7.346420
-5.889811 -2.389116 14.169692
1.315895 -0.366506 3.665023
-6.046421 -2.389778 14.144549
1.312638 -0.362195 3.661135
-3.881909 2.354969 7.354258
0.055251 -3.237582 6.635766
